backbone,eps,eps_tag,rho10,tau10,lambda10,R10,n10,R100,n100,DeltaR_10_100
dinov2_vitl14,0.00196078431372549,eps050centi_255,0.4943229434041889,0.2007056027650833,1.3638226985931396,50.984455958549226,965,32.538860103626945,965,18.44559585492228
dinov2_vits14,0.00196078431372549,eps050centi_255,0.3444729512197904,0.15462422370910645,0.773152768611908,25.0,924,19.047619047619047,924,5.9523809523809526
efficientnet_b0,0.00196078431372549,eps050centi_255,0.30196978621518866,0.13667982816696167,0.9424796104431152,36.07800650054171,923,30.985915492957744,923,5.092091007583967
efficientnet_b1,0.00196078431372549,eps050centi_255,0.3904763439298584,0.28612567484378815,1.2651255130767822,39.05579399141631,932,34.656652360515025,932,4.399141630901283
efficientnet_b3,0.00196078431372549,eps050centi_255,0.5988786392900565,0.474959596991539,1.2865458726882935,33.22649572649573,936,23.076923076923077,936,10.14957264957265
mixer_b16_224,0.00196078431372549,eps050centi_255,0.4447834722820154,0.3293275237083435,1.2338805794715881,38.59649122807017,912,30.701754385964914,912,7.894736842105257
mobilenetv3_large_100,0.00196078431372549,eps050centi_255,0.33867394312868004,-0.08809135109186172,0.44702544808387756,13.611416026344674,911,8.562019758507136,911,5.049396267837539
resnet101,0.00196078431372549,eps050centi_255,0.3720056280709634,-0.23992566019296646,0.6745531857013702,40.557939914163086,932,23.819742489270386,932,16.7381974248927
resnet152,0.00196078431372549,eps050centi_255,0.3527044712776153,-0.2893733084201813,0.6795080900192261,43.217665615141954,951,24.395373291272346,951,18.822292323869608
resnet18,0.00196078431372549,eps050centi_255,0.3255059996048848,-0.1560075879096985,0.44855281710624695,19.61883408071749,892,13.67713004484305,892,5.941704035874441
resnet34,0.00196078431372549,eps050centi_255,0.41571155202455135,-0.10288239270448685,0.6337208151817322,28.277356446370533,923,17.659804983748646,923,10.617551462621886
resnet50_timm,0.00196078431372549,eps050centi_255,0.37002335626871874,-0.2560698986053467,0.5398206114768982,31.25,928,16.810344827586206,928,14.439655172413794
swin_base_patch4_window7_224,0.00196078431372549,eps050centi_255,0.9274669636527397,0.40874092280864716,0.9886743724346161,23.75,960,5.104166666666667,960,18.645833333333332
swin_small_patch4_window7_224,0.00196078431372549,eps050centi_255,0.649194947024597,-0.06019613891839981,0.6315067410469055,24.50469238790407,959,4.796663190823774,959,19.708029197080293
swin_tiny_patch4_window7_224,0.00196078431372549,eps050centi_255,0.714781338217046,0.23862102627754211,0.6317335069179535,14.736842105263156,950,4.315789473684211,950,10.421052631578945
swinv2_tiny_window8_256,0.00196078431372549,eps050centi_255,0.8415928411097894,0.2278899997472763,0.6256674528121948,13.111342351716962,961,2.3933402705515086,961,10.718002081165453
